termino,etiqueta,significado,traduccion_1,traduccion_2,traduccion_3,traduccion_4,
Bilanté,Sustantivo,Capacidad de realizar algo con destreza.,Habilidad,Destrezas,Talento,,
Bilongo,Sustantivo,Práctica mágica o encantamiento.,Brujería,Hechicería,Magia,,
Binda,Sustantivo,Estilo de trenzado con volumen hacia afuera.,Trenzado,,,,
Bindanga,Sustantivo,Trenza gruesa o voluminosa.,Trenza abultada,Trenza voluminosa,,,
Bindaso,Sustantivo,Impacto fuerte en algo o alguien.,Golpe,,,,
Bindaso,Sustantivo,Acto de caer al suelo.,Caída,,,,
Bínde,Sustantivo,Rocas utilizadas para construir un fogón.,Piedras para el fogón,,,,
Bindíso,Sustantivo,Desplome violento al suelo.,Caída,Estrellón,,,
Bindorréno,Imperativo plural,Gasten recursos de manera imprudente.,Malgasten,Derrochen,Dilapiden,,
Bindórrio,Verbo transitivo,Gastar recursos de manera imprudente.,Malgastar,Derrochar,Dilapidar,,
Birikueta,Sustantivo,Pareja femenina en una relación sentimental.,Compañera sentimental,Pareja,Novia,,
Biruta,Sustantivo,Desecho o material inútil.,Basura,Residuos,Desperdicio,,
Biti biti,Sustantivo,Preparación a base de maíz cocido o triturado.,Mazamorra,,,,
Bitibiti,Sustantivo,Especie de árbol autóctono.,Árbol,,,,
Bitílo,Sustantivo,Prenda de vestir de una pieza.,Vestido,,,,
Bíttima,Sustantivo,Persona afectada por una desgracia o daño.,Víctima,,,,
Bitúle,Sustantivo,Mazamorra espesa hecha con maíz.,Mazamorra de maíz,Crema,,,
Bituté,Sustantivo,Plato especialmente preparado para ocasiones especiales.,Comida especial,,,,
Bo,Pronombre personal,Palabra usada para referirse a la segunda persona singular.,Tú,Vos,,,
Bokia,Verbo transitivo,Expresar en voz alta algo que se mantenía en secreto.,Vociferar un secreto,Agonizar,,,
Bokiéno,Imperativo plural,Expresen en voz alta algo que se mantenía en secreto.,Vociferen,,,,
Boliba,Sustantivo propio,Referencia al departamento colombiano de Bolívar.,Bolívar,,,,
Boloko,Sustantivo,"Beso, contacto afectuoso con los labios.",Beso,,,,
Bolokoténo,Imperativo plural,Propongan o sugieran una idea o acción.,Propongan,,,,
Bolokotó,Verbo transitivo,Proponer o sugerir una idea o acción.,Proponer,,,,
Bombo,Verbo transitivo,Alabar o destacar algo o a alguien.,Elogiar,Exaltar,,,
Bomboinbo,Sustantivo,Fruto o alimento derivado de una planta específica.,Fruto,,,,
Bombóno,Imperativo plural,Alaben o destaquen algo o a alguien.,Elogien,Exalten,,,
Bomborombá,Sustantivo,Ruido fuerte y repetitivo.,Estruendo,Ruido fuerte,,,
Bongó,Sustantivo,Instrumento musical de percusión usado en la música afro.,Bongó,,,,
Bongo Mongo,Sustantivo,Dulce tradicional preparado con una mezcla de frutas.,Dulce de siete frutas,,,,
Bongoliá,Verbo intransitivo,Girar repetidamente sobre un eje o punto.,Dar vueltas,Volcarse,Girar,,
Bongólia,Sustantivo,Persona que se dedica a difundir rumores o comentarios.,Chismoso,,,,
Bongoliéno,Imperativo plural,Giren repetidamente sobre un eje o punto.,Den vueltas,Volquénse,Giren,,
Botijo,Sustantivo,Insecto volador conocido por su picadura.,Avispa,,,,
Botikó,Sustantivo,Pieza de vestir usada para cubrir los pies.,Zapato,,,,
Botrokólo,Sustantivo,Conflicto o altercado entre personas.,Pelea,Problema,Discusión,,
Brajutá,Verbo transitivo,Reprender a alguien por una falta cometida.,Regañar,Reprender,,,
Brajuténo,Imperativo plural,Reprendan a alguien por una falta cometida.,Regañen,Reprendan,,,
Bugunga,Expresión,"Gracias, expresión de gratitud.",Gracias,,,,
Bularia,Sustantivo,Joven aprendiz de brujería o hechicería.,Bruja joven,Aprendiz de magia,,,
Bululá,Verbo,Hablar rápidamente y sin claridad.,Balbucear,Murmurar,,,
Bululá,Verbo,Hablar rápidamente y sin claridad.,Balbucear,Murmurar,,,
Bululéno,Imperativo plural,Hablen rápidamente y sin claridad.,Balbuceen,Murmuren,,,
Bumbílo,Sustantivo,Lugar destinado para almacenar basura.,Basurero,Contenedor de residuos,,,
Bumbú,Sustantivo,Producto agrícola utilizado como alimento.,Alimento agrícola,Cultivo,,,
Bumbulé,Sustantivo,Herramienta de cocina para pinchar y servir alimentos.,Trinche,Tenedor grande,,,
Búnbula,Sustantivo,"Persona con una hernia, condición médica.",Herniado,,,,
Bungalá,Sustantivo,"Persona que asiste en los partos, tradicionalmente en comunidades.",Partera,Comadrona,,,
Bungoliéno,Imperativo plural,Muévanse o agítense con el viento.,Venteen,Agítense,,,
Bunguliá,Verbo intransitivo,Moverse o agitarse con el viento.,Ventear,Agitarse,,,
Bungulú,Sustantivo,"Juego, actividad recreativa.",Juego,,,,
Bungulú,Sustantivo,"Juego, actividad recreativa.",Juego,,,,
Buringuri,Sustantivo,"Bolígrafo, instrumento de escritura con tinta.",Bolígrafo,,,,
Buringurí,Sustantivo,Instrumento para escribir con tinta.,Lapicero,Bolígrafo,,,
Burú,Sustantivo,Medio de intercambio económico.,Dinero,Plata,,,
Buruñú,Sustantivo,Recipiente pequeño para líquidos.,Pocillo,Taza pequeña,,,
Bútto,Sustantivo,Objeto voluminoso o paquete.,Bulto,,,,
Cha,Sustantivo,Hermana del padre o madre.,Tía,,,,
Chachá,Sustantivo,Lapso prolongado de tiempo o una era.,Espacio largo de tiempo,Generación,Era,,
Chacharía,Verbo intransitivo,Conversar extensamente o hablar mucho.,Hablar,,,,
Chachariéno,Imperativo plural,Conversen extensamente o hablen mucho.,Hablen,,,,
Chahilito,Adjetivo,"Chiquito, de tamaño pequeño o diminuto.",Chiquito,,,,
Chajana,Sustantivo,"Desconfianza, falta de seguridad o fe en algo.",Desconfianza,,,,
Chakero,Sustantivo,Persona que lleva mensajes o recados.,Mensajero,,,,
Chakucháku,Sustantivo,Animal equino de color uniforme oscuro.,Zaíno,,,,
Chalá,Verbo intransitivo,Realizar un movimiento rápido hacia arriba.,Brincar,Saltar,,,
Chalanga,Sustantivo,Prenda exterior que protege del frío.,Abrigo,Chaqueta,,,
Chaléno,Imperativo plural,Realicen un movimiento rápido hacia arriba.,Brinquen,Salten,,,
Chamarro,Sustantivo,Vestimenta utilizada para realizar tareas.,Ropa de trabajo,,,,
Chámba,Sustantivo,Actividad laboral remunerada.,Trabajo,,,,
Chambiá,Verbo transitivo,Realizar actividades laborales.,Trabajar,,,,
Chambiéno,Imperativo plural,Realicen actividades laborales.,Trabajen,,,,
Chambrána,Sustantivo,Enfrentamiento verbal o físico entre personas.,Disputa,Riña,Pelea,,
Chambuele,Sustantivo,Autoridad política o líder de una comunidad.,Gobernador,,,,
Chamiskina,Sustantivo,"Problema, dificultad o contratiempo.",Problema,,,,
Champeta,Sustantivo,Instrumento cortante utilizado en tareas domésticas.,Cuchillo,,,,
Chamukina,Sustantivo,Conflicto armado o enfrentamiento bélico.,Guerra,,,,
Chaná,Sustantivo,Herramienta de corte usada en tareas agrícolas.,Machete,,,,
Changaina,Sustantivo,"Mujer, especialmente joven o atractiva.",Mujer,,,,
Changole,Sustantivo,Representante de la autoridad en una comunidad.,Autoridad pública,,,,
Changuele,Sustantivo,"Jefe, persona a cargo de un grupo.",Jefe,,,,
Chapiá,Verbo transitivo,Acto de mejorar la apariencia de alguien.,Vestir,Maquillar,Peinar,,
Chapiéno,Imperativo plural,Mejoren la apariencia de alguien.,Vistan,Maquillen,Peinen,,
Charamuka,Sustantivo,Trozos pequeños de madera o ramas secas.,Pedacitos de leña,,,,
Chechélo,Sustantivo,Miembro de las fuerzas del orden.,Policía,,,,
Chéchere,Sustantivo,Objetos utilizados para la preparación de alimentos.,Utensilios de cocina,,,,
Cheja,Sustantivo,Ave que frecuenta áreas agrícolas para alimentarse.,Pájaro de graneros,,,,
Cheleka,Sustantivo,Ave que habita en espacios abiertos.,Pájaro que vive era,,,,
Chepa,Sustantivo,Vestimenta o conjunto de ropa.,Ropa,,,,
Cherrechérre,Sustantivo,Mazorca de maíz aún inmadura.,Mazorca biche,,,,
Chía-Chía,Sustantivo,Ave conocida por su canto melódico.,Pájaro cantor,,,,
Chiba,Sustantivo,Animal domesticado utilizado para leche o transporte.,Cabra,Autobús,,,
Chiba,Sustantivo,"Bus, vehículo de transporte colectivo.",Bus,,,,
Chibapileta,Sustantivo,Persona dedicada a la prostitución.,Prostituta,,,,
Chibo,Sustantivo,Unidad de intercambio monetario.,Moneda,,,,
Chichaló,Sustantivo,Preparación culinaria a base de piel de cerdo frita.,Chicharrón,,,,
Chika,Sustantivo,Nombre familiar o cariñoso para referirse a alguien.,Apodo,Sobrenombre,,,
Chikero,Sustantivo,Espacio destinado para alojar animales.,Chiquero,,,,
Chikote,Verbo transitivo,Morder algo con los dientes.,Morder,,,,
Chikoteéno,Imperativo plural,Muerdan algo con los dientes.,Muerdan,,,,
Chikotiá,Verbo intransitivo,Disputa breve entre personas.,Discusión pasajera,Riña breve,,,
Chikotiéno,Imperativo plural,Tengan una disputa breve entre personas.,Discútan,Riñan,,,
Chilin,Sustantivo,Unidad pequeña de dinero.,Moneda,,,,
Chilumba,Sustantivo masculino/femenino,Persona en etapa de desarrollo entre la niñez y adultez.,Joven,Adolescente,,,
Chimangolé,Sustantivo,Bebida elaborada con cerezas.,Jugo de cereza,,,,
Chimba,Adjetivo,Algo sin valor o utilidad.,Inútil,Defectuoso,Irrelevante,,
Chimbangongé,Sustantivo,Dolor localizado en los dientes o encías.,Dolor de muela,,,,
Chimbililí,Sustantivo,Canto o música propia de rituales fúnebres.,Canto de velorio,Lamento fúnebre,,,
Chimbo,Adjetivo,Falso o que no corresponde a la verdad.,Falso,Fraudulento,Incorrecto,,
Chimumbe,Sustantivo,Poza de agua o situación de la que no se puede volver.,Poza,Camino sin retorno,,,
Chinela,Sustantivo,Calzado ligero usado en casa.,Chancleta,Sandalia,,,
Chingá,Verbo transitivo,Retirar algo o subir una prenda hacia arriba.,Quitar,Remangar,Levantar,,
Chingindingo,Sustantivo,Grupo más pequeño dentro de uno mayor.,Subgrupo,,,,
Chinguéno,Imperativo plural,Retiren algo o suban una prenda hacia arriba.,Quiten,Remanguen,Levanten,,
Chipichipi,Adjetivo,De tamaño muy reducido.,Pequeño,Minúsculo,Diminuto,,
Chirrindiníngo,Sustantivo,Reflejo de luz o algo extremadamente pequeño.,Brillo,Muy pequeño,,,
Chisláta,Sustantivo,Porción rota de un objeto más grande.,Fragmento,Trozo,Pedazo,,
Chismelejo,Sustantivo,Dispositivo o herramienta.,Aparato,Utensilio,Instrumento,,
Chitiá,Verbo intransitivo,Comunicar verbalmente información.,Hablar,Decir,Expresar,,
Chitiéno,Imperativo plural,Comuníquen verbalmente información.,Hablen,Digan,Expresen,,
Chíto,Sustantivo,Cantidad reducida de algo.,Poquito,Porción pequeña,,,
Cho,Sustantivo,Hermano del padre o madre.,Tío,,,,
Chocha,Adjetivo,Indica abundancia o exceso.,Bastante,Mucho,,,
Chochao,Sustantivo,Profesional en leyes o defensor legal.,Abogado,,,,
Chochera,Sustantivo,Etapa de la vida caracterizada por la vejez.,Vejez,Senectud,Ancianidad,,
Chocho,Sustantivo,Cavidad profunda o abertura.,Hueco,Agujero,,,
Chochó,Sustantivo,Ave carroñera común en las zonas rurales.,Gallinazo,Buitre,,,
Chókoro,Sustantivo,Objeto desgastado o en mal estado.,Objeto,Cosa vieja deteriorada,,,
Cholíngo,Número,"Ocho, cantidad de elementos.",Ocho,,,,
Chonchaó,Sustantivo,Hombre sometido o manipulado por su pareja.,Hombre manipulado,,,,
Chúbe,Interjección,Sonido utilizado para llamar la atención de un perro.,Sonido para perros,,,,
Chuchuchú,Sustantivo,Información ociosa difundida entre personas.,Chisme,Murmuración,Habladuría,,
Chuchumeko,Sustantivo,Persona que difunde chismes.,Chismosa,,,,
Chuchuméko,Adjetivo,Persona ingenua o con bajo desarrollo mental.,Bobo,Ingenuo,Inocente,,
Chuípi,Sustantivo,"Pez de tamaño reducido, especialmente el macaco.",Pez pequeño,,,,
Chumbungo,Sustantivo,Agua estancada o corriente en un arroyo.,Agua de arroyo,Poza,,,
Chunganchungá,Sustantivo,Mezcla espesa de tierra y agua.,Fango,Lodo,Barro,,
Chupa,Sustantivo,Objeto usado para cargar cosas personales.,Mochila,Bolso,Morral,,
Debaneo,Sustantivo,Imperfección o falla en algo o alguien.,Defecto,Error,,,
Débra,Sustantivo,Obligación pendiente de pago.,Deuda,Pendencia,Obligación,,
Deggáo,Adjetivo,De contextura fina o falta de volumen.,Delgado,Flaco,Esbelto,,
Déjame,Adjetivo,Persona que evita el esfuerzo físico o mental.,Perezoso,Flojo,Apático,,
Delario,Adjetivo,Algo que genera sufrimiento físico o emocional.,Doloroso,Penoso,Sufrido,,
Desoddenáo,Adjetivo,Falto de orden o estructura.,Desordenado,Desorganizado,Caótico,,
Dibidibe,Sustantivo,Árbol que pierde sus hojas de manera estacional.,Palo que pierde hojas,Árbol caducifolio,,,
Drují,Verbo intransitivo,Emitir un sonido fuerte al respirar mientras se duerme.,Roncar,Resoplar,,,
Drujiéno,Imperativo plural,Emítan un sonido fuerte al respirar mientras duermen.,Ronquen,Resoplen,,,
E,Variante átona,Forma reducida de “Éle” que se utiliza en contextos donde se simplifica el pronombre.,Él,Ella,,,
É,Verbo infinitivo,Pronombre verbal de tercera persona singular.,Es,,,,
é,Variante átona,"Variante reducida del verbo ""ser"" en presente, pero es menos enfática y más común en el habla cotidiana.",Soy,Eres,Es,Somos,Son
Ebarítto,Sustantivo propio,"Nombre propio que se refiere a ""Evaristo"".",Evaristo,,,,
Éddi,Pronombre relativo,"Expresión que significa ""el que"", ""la que"", ""quien"", ""quienes"", utilizado para introducir cláusulas subordinadas relativas.",El que,Quien,Los que,,
Ejkuro,Adjetivo,Sin luz o claridad.,Oscuro,Tenebroso,,,
Ejpejnanká,Verbo infinitivo,Acción de separar o abrir algo.,Abrir,Despejar,,,
Ejpejnankéno,Imperativo plural,Separen o abran algo.,Abran,Despejen,,,
Ejuañañán,Verbo infinitivo,Acción de deshacer o romper en partes.,Destrozar,Despedazar,,,
Ejuañañanéno,Imperativo plural,Deshagan o rompan en partes.,Destrocen,Despedacen,,,
Ekanforá,Verbo infinitivo,Perder algo o extraviarlo.,Perder,Desorientar,,,
Ekanforéno,Imperativo plural,Pierdan algo o extravíenlo.,Pierdan,Desorienten,,,
Ekkabatá,Verbo infinitivo,Remover tierra o excavar.,Escarbar,,,,
Ekkabaténo,Imperativo plural,Remuevan tierra o excaven.,Escarben,,,,
Eklabisá,Verbo infinitivo,Someter a una persona a esclavitud.,Esclavizar,Subyugar,,,
Eklabiséno,Imperativo plural,Sometan a una persona a esclavitud.,Esclavicen,Subyuguen,,,
Eklábo,Sustantivo,Persona sometida a esclavitud.,Esclavo,Siervo,,,
Ekuatisá,Verbo infinitivo,"Dividir en pedazos pequeños, generalmente cuerpos.",Descuartizar,Despedazar,,,
Ekuatiséno,Imperativo plural,Dividan en pedazos pequeños.,Descuarticen,Despedacen,,,
Ekuela,Sustantivo,Lugar destinado para la enseñanza.,Escuela,Colegio,,,
Ekuelekuá,Adjetivo,Algo que es verdadero o indiscutible.,Cierto,Claro,Seguro,,
Ele,Pronombre personal,Pronombre de tercera persona singular.,Él,Ella,,,
Eleeloo,Expresión,Lamento o queja expresada emocionalmente.,Expresión de lamento,,,,
Elengué,Sustantivo,Utensilio de cocina usado para freír alimentos.,Sartén,,,,
Embakká,Verbo infinitivo,"Subirse a un vehículo, barco, o medio de transporte.",Embarcar,Abordar,,,
Embakkéno,Imperativo plural,"Súbanse a un vehículo, barco, o medio de transporte.",Embarquen,Aborden,,,
Embotá,Verbo infinitivo,Funcionar correctamente o ser útil.,Funcionar,Servir,,,
Emboténo,Imperativo plural,Hagan que algo funcione correctamente o sea útil.,Funcionen,Sirvan,,,
Emmandá,Sustantivo,Relación o vínculo entre hermanos.,Hermandad,Solidaridad,,,
Emmutetar,Verbo infinitivo,Guardar o agrupar cosas en paquetes.,Empaquetar,Empacar,,,
Emmuteténo,Imperativo plural,Guarden o agrupen cosas en paquetes.,Empaqueten,Empaquen,,,
Empenka,Adjetivo,Estado de no llevar ropa.,Desnudo,Sin vestir,,,
Enbauká,Verbo infinitivo,Engañar o inducir al error con astucia.,Embaucar,Engatusar,,,
Enbaukéno,Imperativo plural,Engañen o induzcan al error con astucia.,Embauquen,Engatusen,,,
Encholoná,Verbo infinitivo,Guardar algo en un lugar oculto.,Guardar,Esconder,,,
Encholonéno,Imperativo plural,Guarden algo en un lugar oculto.,Guarden,Escondan,,,
Endoná,Verbo infinitivo,Acción de entregar algo a alguien.,Entregar,Ceder,,,
Endonéno,Imperativo plural,Entreguen algo a alguien.,Entreguen,Cedan,,,
Ene,Pronombre personal,Pronombre de segunda persona del plural.,Ustedes,Vosotros,,,
Enfemmá,Verbo infinitivo,Caer en un estado de mala salud.,Enfermar,Afectar,,,
Enfemméno,Imperativo plural,Caigan en un estado de mala salud.,Enfermen,Afecten,,,
Engañifá,Verbo infinitivo,Acción de mentir o inducir al error.,Engañar,Estafar,,,
Engañiféno,Imperativo plural,Mientan o induzcan al error.,Engañen,Estafen,,,
Engringoláo,Adjetivo,Persona o cosa elevada o subida a un lugar alto.,Encaramado,Levantado,,,
Enkaramá,Verbo infinitivo,Subir a un lugar alto o posición elevada.,Encaramar,Trepar,,,
Enkaraméno,Imperativo plural,Suban a un lugar alto o posición elevada.,Encaramen,Trepen,,,
Enkukungú,Sustantivo,Recipiente pequeño para beber líquidos.,Taza,,,,
Enkutipá,Sustantivo,Resfriado común o gripe.,Gripa,Catarro,,,
Enmutetá,Verbo infinitivo,Guardar cosas de manera desordenada.,Desordenar,Almacenar sin orden,,,
Enmuteténo,Imperativo plural,Guarden cosas de manera desordenada.,Desordenen,Almacenen sin orden,,,
Enreo,Sustantivo,Acción inútil o tonta.,Pendejada,Tontería,,,
Ensiyá,Verbo infinitivo,Preparar un caballo o mula para montarlo.,Ensillar,,,,
Ensiyéno,Imperativo plural,Preparen un caballo o mula para montarlo.,Ensillen,,,,
Ensotá,Verbo infinitivo,Hacer que algo se ensucie.,Ensuciar,Manchar,,,
Ensoténo,Imperativo plural,Ensucien algo.,Ensucien,Manchen,,,
Entendé,Verbo infinitivo,Prestar atención o comprender algo.,Atender,Entender,,,
Entendéno,Imperativo plural,Presten atención o comprendan algo.,Atiendan,Entiendan,,,
Entengesá,Verbo infinitivo,Incluir o hacer parte de algo mayor.,Integrar,Incorporar,,,
Entengeséno,Imperativo plural,Incluyan o hagan parte de algo mayor.,Integren,Incorporen,,,
Entenguensá,Verbo infinitivo,Reparar o solucionar algo.,Arreglar,Componer,Entender,,
Entenguenséno,Imperativo plural,Reparen o solucionen algo.,Arreglen,Compongan,,,
Enterrá,Verbo infinitivo,Cubrir algo o alguien con tierra.,Enterrar,Sepultar,,,
Entérréno,Imperativo plural,Cubran algo o alguien con tierra.,Entierren,Sepulten,,,
Entonga,Verbo infinitivo,"Vestirse, ponerse ropa.",Vestirse,,,,
Entongá,Verbo infinitivo,Arreglar la apariencia física.,Arreglarse físicamente,Maquillarse,Atragantar,,
Entongéno,Imperativo plural,Arréglen su apariencia física.,Arréglense,Maquíllense,,,
Entumío,Adjetivo,Persona que muestra inhibición o falta de confianza.,Tímido,Cohibido,,,
Entutanáo,Adjetivo,Persona de cuerpo robusto o musculoso.,Grueso,Fortachón,,,
Entutaneá,Adjetivo,Persona de contextura gruesa.,Gorda,Gruesa,,,
Entutumao,Adjetivo,Estado de estar enredado o complicado.,Enredado,Confuso,,,
Enú,Pronombre Personal,Ustedes. se refiere a varias personas.,Ustedes,,,,
Enuba,Sustantivo,Pareja sentimental o compañero amoroso.,Compañero sentimental,,,,
Epappajá,Verbo infinitivo,Acción de dispersar o desorganizar algo.,Desparpajar,Desordenar,,,
Epappajéno,Imperativo plural,Dispérsen o desorganicen algo.,Desparpajen,Desordenen,,,
Eperá,Verbo infinitivo,Acción de aguardar a que algo ocurra.,Esperar,,,,
Eperéno,Imperativo plural,Aguarden a que algo ocurra.,Esperen,,,,
Epirutu,Sustantivo,Presencia inmaterial o esencia espiritual.,Espíritu,Alma,,,
Erukasio,Sustantivo,Proceso de aprendizaje o instrucción formal.,Educación,,,,
Eskurana,Sustantivo,Falta de luz o claridad en un espacio.,Oscuridad,Penumbra,,,
Esulúmbo,Sustantivo,Juego o actividad recreativa realizada en una sala.,Juego de sala,,,,
Etnoerukasión,Sustantivo,Educación enfocada en aspectos culturales y étnicos.,Etnoeducación,,,,
Etrujá,Verbo infinitivo,Acción de sacar el líquido de algo apretándolo.,Exprimir,,,,
Etrujéno,Imperativo plural,Extraigan líquido apretando algo.,Expríman,,,,
Etulé,Verbo / Sustantivo,Estudiar o persona que estudia.,Estudiar,Estudiante,,,
Etulendo,Sustantivo,"Estudiante, persona que se encuentra aprendiendo.",Estudiante,,,,
Etuléno,Imperativo plural,Estudien.,Estudien,,,,
Famía,Sustantivo,Grupo de personas unidas por vínculos de sangre o afecto.,Familia,,,,
Fanchá,Verbo infinitivo,Fingir o aparentar ser algo que no se es.,Aparentar,,,,
Fanchéno,Imperativo plural,Finjan o aparenten ser algo que no son.,Aparenten,,,,
Fangotá,Sustantivo,Masa de tierra mezclada con agua.,Lodo,Barro,,,
Fatá,Verbo infinitivo,No estar presente o ser insuficiente.,Faltar,Carecer,,,
Faténo,Imperativo plural,Sean insuficientes o no estén presentes.,Falten,Carezcan,,,
Fattume,Sustantivo,Atractivo personal o cualidad encantadora.,Encanto,Magnetismo,,,
Felé,Sustantivo,Comida preparada de manera poco agradable.,Comida mal hecha,,,,
Féle - féle,Expresión,Algo sin valor o importancia.,Cosa de poco valor,Insustancial,,,
Fiá,Verbo infinitivo,"Dar algo a crédito, confiando en el pago posterior.",Fiar,,,,
Fiafía,Adjetivo,Estado de no tener un destino o dirección fija.,Sin paradero,Sin rumbo,,,
Fiéno,Imperativo plural,Den algo a crédito confiando en el pago.,Fíen,,,,
Fietta,Sustantivo,Reunión social con música y baile.,Fiesta,,,,
Fifarriá,Verbo infinitivo,Gastar dinero o recursos de manera imprudente.,Malgastar,Despilfarrar,,,
Fifarriéno,Imperativo plural,Malgasten dinero o recursos.,Malgasten,Despilfarren,,,
Fijá,Verbo infinitivo,Mirar detenidamente para observar con atención.,Observar,Examinar,,,
Fijéno,Imperativo plural,Miren detenidamente para observar con atención.,Observen,Examinen,,,
Fínka,Sustantivo,Propiedad rural destinada a la agricultura o ganadería.,Finca,,,,
Firifoyo,Sustantivo,Persona que habla demasiado o sin cesar.,Hablador,Charlatán,,,
Firifuyo,Sustantivo,Persona presumida o que se siente superior.,Engreído,Creído,,,
Fiská,Sustantivo,Funcionario encargado de velar por el cumplimiento de la ley.,Fiscal,,,,
Flase,Sustantivo,Grupo de palabras que forman una unidad de significado.,Frase,,,,
Fleketiá,Verbo infinitivo,Mostrar desprecio hacia algo o alguien.,Despreciar,Engañar,,,
Fleketiá,Verbo infinitivo,"Morisquetear, comer en pequeñas cantidades.",Morisquetear,,,,
Fleketiéno,Imperativo plural,Muestren desprecio hacia algo o alguien.,Desprecien,Engañen,,,
Fleketiéno,Imperativo plural,Morisqueteen o coman en pequeñas cantidades.,Morisqueteen,,,,
Flénde,Sustantivo,Parte frontal del rostro humano.,Frente,,,,
Flo,Sustantivo,"Parte reproductiva de las plantas, frecuentemente colorida.",Flor,,,,
Floriá,Verbo infinitivo,Proceso de abrirse o desarrollarse una flor.,Florecer,Brotar,,,
Floriéno,Imperativo plural,Permitan que las flores se abran o se desarrollen.,Florezcan,Broten,,,
Flu,Sustantivo,Buena fortuna o golpe de suerte.,Suerte,Fortuna,,,
Fobó,Sustantivo,Lugar construido para cocinar alimentos.,Fogón,Hoguera,,,
Fofogén,Sustantivo,Capacidad para realizar algo rápidamente.,Habilidad,Movimiento acelerado,,,
Fogó,Sustantivo,"Sinónimo de ""fobó"", lugar para cocinar.",Fogón,,,,
Folenkulú,Sustantivo,"Prenda de vestir ligera, usualmente sin mangas.",Camisilla,,,,
Folongombó,Sustantivo,Mueble que permite balancearse hacia adelante y atrás.,Mecedora,,,,
Fommá,Verbo infinitivo,Crear o configurar algo.,Formar,,,,
Fomméno,Imperativo plural,Creen o configuren algo.,Formen,,,,
Fondá,Verbo infinitivo,Quitar el fondo de un recipiente o romper algo.,Romper,Quitar el fondo,,,
Fondañoká,Verbo infinitivo,Separar hojas de una planta o árbol.,Deshojar,,,,
Fondañokéno,Imperativo plural,Separen las hojas de una planta o árbol.,Deshojen,,,,
Fondéno,Imperativo plural,Quiten el fondo de un recipiente o rompan algo.,Rompan,Quiten el fondo,,,
Forongó,Sustantivo,Utensilio grande usado para servir líquidos o alimentos.,Cucharón,,,,
Foruguñu,Sustantivo,Tipo de ají de sabor picante.,Ají picante,,,,
Fossa,Verbo infinitivo,Obligar o ejercer presión sobre alguien o algo.,Forzar,,,,
Fosséno,Imperativo plural,Obligan o ejerzan presión sobre algo o alguien.,Fuerzen,,,,
Fregantina,Verbo infinitivo,Acción de molestar o fastidiar constantemente.,Fastidiar,Molestar,,,
Fregantinéno,Imperativo plural,Molesten o fastidien constantemente.,Fastidien,Molesten,,,
Frutta,Sustantivo,"Producto comestible de las plantas, generalmente dulce.",Fruta,,,,
Fuamatu,Adjetivo,Persona que tiene dificultad para oír.,Sordo,,,,
Fuétte,Adjetivo,Que posee gran fortaleza física o moral.,Fuerte,,,,
Fufufu,Sustantivo,Bola hecha de ñame cocido.,Bola de ñame cocido,,,,
Fufurufa,Adjetivo,Persona descortés o irrespetuosa.,Grosera,,,,
Fundá,Verbo infinitivo,Encender fuego o iniciar algo.,Prender,,,,
Fundamendá,Adjetivo,Algo esencial o de gran importancia.,Fundamental,,,,
Fundéno,Imperativo plural,Enciendan fuego o inicien algo.,Prendan,,,,
Fundío,Sustantivo,Parte trasera del cuerpo; trasero.,Fundillo,,,,
Funfuniá,Verbo infinitivo,Hablar en voz baja o de forma inaudible.,Susurrar,Murmurar,Rezongar,,
Funfuniéno,Imperativo plural,Hablen en voz baja o de manera inaudible.,Susurren,Murmuren,Rezonguen,,
Funirá,Sustantivo,Actividad o acción que se realiza con un propósito.,Acción,Diligencia,,,
Furatéro,Sustantivo,Persona proveniente de otro país o lugar.,Extranjero,,,,
Furunguía,Sustantivo,Relación sexual entre personas del mismo sexo.,Sexo entre homosexuales,,,,
Gabilaneo,Sustantivo,Cambio o intercambio de posesión.,Cambio de mano,,,,
Gácho,Adjetivo,Persona con una joroba o curvatura en la espalda.,Jorobado,,,,
Gago,Sustantivo,"Persona con dificultad al hablar, especialmente con tartamudez.",Tartamudo,,,,
Galipotano,Adjetivo,Persona de posición económica elevada.,Rico,Adinerado,,,
Gambarinba,Sustantivo,Recipiente pequeño para beber.,Vaso,,,,
Ganbaringa,Sustantivo,Objeto que cubre o sella un recipiente.,Tapa,,,,
Gandilá,Verbo infinitivo,"Pedir insistentemente algo, especialmente comida.",Golosinear,Pedir,,,
Gandiléno,Imperativo plural,"Pidan insistentemente algo, especialmente comida.",Golosineen,Pidan,,,
Ganfugá,Sustantivo,"Ave nocturna conocida por su ulular, como una lechuza.",Lechuza,,,,
Garatúsa,Adjetivo,Algo sin importancia o valor.,Insignificante,,,,
Gasúso,Adjetivo,Que desea intensamente algo.,Ansioso,Deseoso,,,
Gobbé,Verbo infinitivo,Regresar a un lugar o estado anterior.,Volver,,,,
Gobbéno,Imperativo plural,Regresen a un lugar o estado anterior.,Vuelvan,,,,
Gongolé,Verbo infinitivo,"Balancear, moverse de un lado a otro.",Balancear,Mecer,,,
Gongolé,Verbo infinitivo,"Balancear, moverse de un lado a otro.",Balancear,Mecer,,,
Gongoléno,Imperativo plural,Balanceen o muévanse de un lado a otro.,Balanceen,Mécanse,,,
